Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
921,-0.25,HWM7,8.14.19,M,19.5,FLD,no,1,normal
922,-0.29,HWM7,8.14.19,M,19.5,FLD,no,1,normal
923,-0.35,HWM7,8.14.19,M,19.5,FLD,no,1,normal
924,-0.39,HWM7,8.14.19,M,19.5,FLD,no,1,normal
925,-0.4,HWM7,8.14.19,M,19.5,FLD,no,1,normal
926,-0.53,HWM7,8.14.19,M,19.5,FLD,no,1,normal
927,-0.62,HWM7,8.14.19,M,19.5,FLD,no,1,normal
928,-0.61,HWM7,8.14.19,M,19.5,FLD,no,1,normal
929,-0.81,HWM7,8.14.19,M,19.5,FLD,no,1,normal
930,-3.37,HWM7,8.14.19,M,19.5,FLD,no,1,normal
931,-6.68,HWM7,8.14.19,M,19.5,FLD,no,1,normal
932,-3.86,HWM7,8.14.19,M,19.5,FLD,no,1,normal
933,-11.76,HWM7,8.14.19,M,19.5,FLD,no,1,normal
934,-31.02,HWM7,8.14.19,M,19.5,FLD,no,1,normal
935,-12.51,HWM7,8.14.19,M,19.5,FLD,no,1,normal
936,1.41,HWM7,8.14.19,M,19.5,FLD,no,1,normal
937,1.37,HWM7,8.14.19,M,19.5,FLD,no,1,normal
938,1.55,HWM7,8.14.19,M,19.5,FLD,no,1,normal
939,1.57,HWM7,8.14.19,M,19.5,FLD,no,1,normal
940,1.37,HWM7,8.14.19,M,19.5,FLD,no,1,normal
941,1.49,HWM7,8.14.19,M,19.5,FLD,no,1,normal
