Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
1125,-0.18,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1126,-0.43,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1127,-0.7,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1128,-0.71,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1129,-0.83,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1130,-0.89,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1131,-0.91,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1132,-2.85,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1133,-8.49,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1134,-19.06,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1135,-52.83,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1136,-24.97,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1137,0.94,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1138,1.71,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1139,1.63,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1140,1.47,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1141,1.41,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1142,1.45,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1143,1.55,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,1,30 deg
1144,0.12,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1145,-0.03,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1146,-0.17,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1147,-0.09,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1148,-0.04,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1149,-0.11,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1150,-0.07,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1151,-0.13,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1152,-1.43,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1153,-9.18,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1154,-27.63,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1155,-69.42,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
1156,-72.91,HWM10,8.15.19,M,26.4,C57BL/6 lpin1+/-,no,2,30 deg
