Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
553,-0.28,HWM2,8.14.19,M,21.2,FLD,no,1,normal
554,-0.47,HWM2,8.14.19,M,21.2,FLD,no,1,normal
555,-0.46,HWM2,8.14.19,M,21.2,FLD,no,1,normal
556,-0.31,HWM2,8.14.19,M,21.2,FLD,no,1,normal
557,-0.34,HWM2,8.14.19,M,21.2,FLD,no,1,normal
558,-0.43,HWM2,8.14.19,M,21.2,FLD,no,1,normal
559,-0.86,HWM2,8.14.19,M,21.2,FLD,no,1,normal
560,-1.48,HWM2,8.14.19,M,21.2,FLD,no,1,normal
561,-2.56,HWM2,8.14.19,M,21.2,FLD,no,1,normal
562,-3.34,HWM2,8.14.19,M,21.2,FLD,no,1,normal
563,-3.73,HWM2,8.14.19,M,21.2,FLD,no,1,normal
564,-4.07,HWM2,8.14.19,M,21.2,FLD,no,1,normal
565,-4.16,HWM2,8.14.19,M,21.2,FLD,no,1,normal
566,-4.77,HWM2,8.14.19,M,21.2,FLD,no,1,normal
567,-4.76,HWM2,8.14.19,M,21.2,FLD,no,1,normal
568,-15.19,HWM2,8.14.19,M,21.2,FLD,no,1,normal
569,-27.63,HWM2,8.14.19,M,21.2,FLD,no,1,normal
570,-38.83,HWM2,8.14.19,M,21.2,FLD,no,1,normal
571,-18.69,HWM2,8.14.19,M,21.2,FLD,no,1,normal
572,0.5,HWM2,8.14.19,M,21.2,FLD,no,1,normal
573,1.21,HWM2,8.14.19,M,21.2,FLD,no,1,normal
574,1.2,HWM2,8.14.19,M,21.2,FLD,no,1,normal
575,0.71,HWM2,8.14.19,M,21.2,FLD,no,1,normal
576,0.59,HWM2,8.14.19,M,21.2,FLD,no,1,normal
